Order_ID,Order_Date,Customer_ID,Customer_Name,Industry,City,State,Region,Customer_Size,Product_ID,Category,Product_Name,UOM,Quantity,Unit_Price_INR,Discount,Sales_INR,Cost_INR,Gross_Profit_INR,Ship_Mode,Planned_Production_Date,Production_Completion_Date,Dispatch_Date,Promised_Date,Production_Status,Dispatch_Status,Payment_Status,Amount_Paid_INR,Outstanding_INR,Salesperson_ID,Gross_Margin_%,Production_Days,Dispatch_Delay_Days,On_Time_Dispatch
ORD00001,2025-08-04,CUST045,Apex Traders,FMCG,Ahmedabad,Gujarat,West,Large,P004,Protective Packaging,EPE Foam Roll,Roll,5,1424.18,0,7120.92,4416.71,2704.21,Express,2025-08-09,2025-08-16,2025-08-20,2025-08-09,Completed,Dispatched,Paid,7120.92,0,SP07,0.379755706,7,11,No
ORD00002,2025-10-03,CUST025,Global Logistics,Logistics,Noida,Uttar Pradesh,North,Small,P013,Material Handling,Platform Trolley,Nos,51,7923.81,0.03,404114.54,290116.15,113998.39,Scheduled,2025-10-09,2025-10-16,2025-10-20,2025-10-11,Completed,Dispatched,Paid,404114.54,0,SP07,0.282094255,7,9,No
ORD00003,2025-03-26,CUST112,National Manufacturing,Chemicals,Chennai,Tamil Nadu,South,Medium,P007,Pallet Solutions,Wooden Pallet,Nos,11,985.24,0.02,10837.6,6496.35,4341.25,Standard,2025-03-31,2025-04-02,2025-04-11,2025-04-08,Completed,Dispatched,Partially Paid,7551,3286.6,SP01,0.400573005,2,3,No
ORD00004,2025-05-14,CUST079,Shree Manufacturing,Logistics,Indore,Madhya Pradesh,Central,Large,P007,Pallet Solutions,Wooden Pallet,Nos,4,988.75,0.03,3955.01,2454.21,1500.8,Standard,2025-05-19,2025-05-22,2025-05-23,2025-05-26,Completed,Dispatched,Paid,3955.01,0,SP08,0.379468067,3,0,Yes
ORD00005,2025-01-10,CUST032,Vertex Industries,Textiles,Bhopal,Madhya Pradesh,Central,Large,P001,Strapping Solutions,PP Strapping Roll,Meter,260,103.84,0.03,26997.38,13887.01,13110.37,Standard,2025-01-16,2025-01-17,2025-01-19,2025-01-18,In Production,Dispatched,Paid,26997.38,0,SP01,0.485616382,1,1,No
ORD00006,2025-11-15,CUST004,Prime Manufacturing,Electronics,Mumbai,Maharashtra,West,Large,P003,Protective Packaging,Bubble Wrap Roll,Roll,70,820.62,0.02,57443.5,35252.79,22190.71,Express,2025-11-18,2025-11-20,2025-11-21,2025-11-27,Completed,Dispatched,Paid,57443.5,0,SP03,0.386304978,2,0,Yes
ORD00007,2025-11-07,CUST087,Shree Manufacturing,FMCG,Noida,Uttar Pradesh,North,Medium,P002,Strapping Solutions,PET Strapping Roll,Kg,205,114.31,0.05,23434.53,15449.61,7984.92,Scheduled,2025-11-13,2025-11-19,2025-11-19,2025-11-14,Completed,Dispatched,Paid,23434.53,0,SP04,0.340733098,6,5,No
ORD00008,2025-02-08,CUST016,Shree Pvt Ltd,FMCG,Delhi,Delhi,North,Large,P011,Customized Carton Boxes,5-Ply Corrugated Box,Nos,29,57.37,0.05,1663.8,1038.55,625.25,Standard,2025-02-14,2025-02-20,2025-02-21,2025-02-14,Completed,Dispatched,Partially Paid,1237.1,426.7,SP06,0.37579637,6,7,No
ORD00009,2025-09-30,CUST020,Shree Industries,Electronics,Bengaluru,Karnataka,South,Large,P001,Strapping Solutions,PP Strapping Roll,Meter,120,88.87,0,10664.29,6404.8,4259.49,Express,2025-10-05,2025-10-11,2025-10-13,2025-10-06,Completed,Dispatched,Partially Paid,5581.79,5082.5,SP11,0.399416182,6,7,No
ORD00010,2025-08-24,CUST066,Om Logistics,Engineering,Kolkata,West Bengal,East,Medium,P002,Strapping Solutions,PET Strapping Roll,Kg,300,117.07,0.08,35122.3,22145.93,12976.37,Scheduled,2025-08-27,2025-08-31,2025-09-01,2025-09-06,Completed,Dispatched,Partially Paid,18412.16,16710.14,SP10,0.369462421,4,0,Yes
ORD00011,2025-05-18,CUST028,United Logistics,Textiles,Bhubaneswar,Odisha,East,Large,P013,Material Handling,Platform Trolley,Nos,9,7585.13,0,68266.19,50006.86,18259.33,Express,2025-05-22,2025-05-29,2025-05-30,2025-05-24,Completed,Dispatched,Partially Paid,24676.86,43589.33,SP03,0.267472522,7,6,No
ORD00012,2025-09-07,CUST083,Metro Industries,Engineering,Jaipur,Rajasthan,North,Small,P005,Stretch / Film Solutions,Stretch Film Roll,Roll,36,643.35,0.03,23160.57,13573.89,9586.68,Standard,2025-09-10,2025-09-13,2025-09-15,2025-09-17,Completed,Dispatched,Outstanding,3293.65,19866.92,SP04,0.413922455,3,0,Yes
ORD00013,2025-07-28,CUST051,Prime Manufacturing,Electronics,Ludhiana,Punjab,North,Small,P008,Pallet Solutions,Plastic Pallet,Nos,51,2478.05,0.05,126380.54,87555.7,38824.84,Standard,2025-08-02,2025-08-07,2025-08-08,2025-08-09,Completed,Dispatched,Partially Paid,64676.56,61703.98,SP05,0.30720584,5,0,Yes
ORD00014,2025-12-06,CUST061,Apex Industries,Logistics,Ludhiana,Punjab,North,Large,P012,Customized Carton Boxes,7-Ply Corrugated Box,Nos,22,88.12,0.02,1938.6,1186.56,752.04,Express,2025-12-12,2025-12-15,2025-12-18,2025-12-19,Completed,Dispatched,Partially Paid,1030.36,908.24,SP05,0.387929434,3,0,Yes
ORD00015,2025-04-29,CUST056,National Enterprises,Automotive,Vijayawada,Andhra Pradesh,South,Small,P012,Customized Carton Boxes,7-Ply Corrugated Box,Nos,61,95.76,0.03,5841.25,3459.18,2382.07,Scheduled,2025-05-01,2025-05-07,2025-05-14,2025-05-09,Pending,Dispatched,Partially Paid,3175.77,2665.48,SP10,0.407801412,6,5,No
ORD00016,2025-09-26,CUST047,Global Pvt Ltd,Logistics,Coimbatore,Tamil Nadu,South,Small,P002,Strapping Solutions,PET Strapping Roll,Kg,115,115.92,0,13330.43,8558.54,4771.89,Express,2025-10-02,2025-10-05,2025-10-05,2025-10-04,Completed,Dispatched,Paid,13330.43,0,SP01,0.357969698,3,1,No
