Finance_ID,Order_ID,Transaction_Date,Customer_ID,Customer_Name,Invoice_Value_INR,Amount_Paid_INR,Outstanding_INR,Freight_Cost_INR,Other_Expense_INR,Estimated_Net_Profit_INR,Payment_Type
FIN00001,ORD01592,2025-02-09,CUST068,Shree Enterprises,30536.43,1576.84,28959.59,1352.45,676.23,9186.97,Invoice
FIN00002,ORD00944,2025-04-18,CUST041,Metro Enterprises,6579.81,6579.81,0,270.05,135.03,2316.83,Invoice
FIN00003,ORD00870,2025-11-27,CUST012,Shree Pvt Ltd,14990.54,14990.54,0,681.49,340.75,4232.68,Invoice
FIN00004,ORD00163,2025-10-06,CUST095,Vertex Industries,55413.67,6821.62,48592.05,2155.48,1077.74,21387.82,Invoice
FIN00005,ORD01272,2025-07-10,CUST035,United Industries,10236.39,10236.39,0,447.85,223.92,3166.78,Invoice
FIN00006,ORD00071,2025-02-28,CUST027,Om Industries,23880.07,23880.07,0,1013.5,506.75,7881.28,Invoice
FIN00007,ORD00248,2025-07-18,CUST020,Shree Industries,1530.36,1530.36,0,70.59,35.3,416,Invoice
FIN00008,ORD00323,2025-01-19,CUST108,National Manufacturing,5958.97,5958.97,0,242.73,121.37,2127.23,Invoice
FIN00009,ORD01660,2025-12-28,CUST099,Prime Pvt Ltd,31512.81,31512.81,0,1526.95,763.47,7408.89,Invoice
FIN00010,ORD01005,2025-09-08,CUST111,National Manufacturing,37026.04,37026.04,0,1692.51,846.26,10308.5,Invoice
FIN00011,ORD01663,2025-03-08,CUST093,Om Traders,23135.43,23135.43,0,1050.63,525.31,6550.53,Invoice
FIN00012,ORD00910,2025-10-16,CUST035,United Industries,30197.7,30197.7,0,1172.82,586.41,11683.92,Invoice
FIN00013,ORD01226,2025-05-29,CUST069,United Logistics,505222.28,505222.28,0,26953.6,13476.8,79740.46,Invoice
FIN00014,ORD00902,2025-11-20,CUST071,Prime Manufacturing,55929.4,1641.96,54287.44,2251.95,1125.97,20380.83,Invoice
FIN00015,ORD00592,2025-11-19,CUST076,Metro Manufacturing,22462.29,22462.29,0,1007.74,503.87,6554.4,Invoice
FIN00016,ORD01274,2025-06-19,CUST100,Sunrise Traders,786.52,786.52,0,34.42,17.21,243.1,Invoice
FIN00017,ORD00555,2025-10-21,CUST038,Global Manufacturing,1479.18,557.51,921.67,63.32,31.66,479.64,Invoice
FIN00018,ORD01062,2025-12-13,CUST003,Prime Logistics,7672.79,7672.79,0,359.9,179.95,1991.59,Invoice
FIN00019,ORD00530,2025-10-14,CUST034,Vertex Logistics,6247.67,2477.99,3769.68,244.67,122.33,2385.41,Invoice
FIN00020,ORD01720,2025-08-23,CUST076,Metro Manufacturing,347321.23,132019.3,215301.93,15862.82,7931.41,96915.24,Invoice
FIN00021,ORD00722,2025-05-17,CUST001,Prime Industries,129142.66,12883.5,116259.16,6001.26,3000.63,34408.45,Invoice
FIN00022,ORD00562,2025-11-05,CUST051,Prime Manufacturing,20690.95,347.4,20343.55,739.8,369.9,9012.7,Invoice
FIN00023,ORD00539,2025-05-28,CUST067,Metro Manufacturing,4856.95,4856.95,0,208.48,104.24,1566.02,Invoice
FIN00024,ORD01254,2025-08-12,CUST036,National Industries,1456.74,594.07,862.67,62.47,31.23,470.66,Invoice
FIN00025,ORD00496,2025-10-27,CUST072,United Logistics,30158.46,30158.46,0,1281.69,640.84,9926.09,Invoice
FIN00026,ORD00651,2025-10-20,CUST039,Shree Logistics,16752.97,16752.97,0,746.52,373.26,4968.55,Invoice
FIN00027,ORD00716,2025-09-14,CUST054,Prime Industries,3238.81,309.07,2929.74,126.71,63.36,1238.53,Invoice
FIN00028,ORD00531,2025-09-03,CUST016,Shree Pvt Ltd,18066.74,18066.74,0,810.07,405.03,5279.27,Invoice
FIN00029,ORD01574,2025-11-21,CUST062,Global Industries,14258.76,378.84,13879.92,675.9,337.95,3589.24,Invoice
