Order_ID,Order_Date,Product_ID,Product_Name,Category,Quantity,Planned_Production_Date,Production_Completion_Date,Production_Status,Production_Days,Planned_Qty,Actual_Qty,Production_Completion_%
ORD00001,2025-08-04,P004,EPE Foam Roll,Protective Packaging,5,2025-08-09,2025-08-16,Completed,7,5,5,1
ORD00002,2025-10-03,P013,Platform Trolley,Material Handling,51,2025-10-09,2025-10-16,Completed,7,51,51,1
ORD00003,2025-03-26,P007,Wooden Pallet,Pallet Solutions,11,2025-03-31,2025-04-02,Completed,2,11,11,1
ORD00004,2025-05-14,P007,Wooden Pallet,Pallet Solutions,4,2025-05-19,2025-05-22,Completed,3,4,4,1
ORD00005,2025-01-10,P001,PP Strapping Roll,Strapping Solutions,260,2025-01-16,2025-01-17,In Production,1,260,137,0.526923077
ORD00006,2025-11-15,P003,Bubble Wrap Roll,Protective Packaging,70,2025-11-18,2025-11-20,Completed,2,70,70,1
ORD00007,2025-11-07,P002,PET Strapping Roll,Strapping Solutions,205,2025-11-13,2025-11-19,Completed,6,205,205,1
ORD00008,2025-02-08,P011,5-Ply Corrugated Box,Customized Carton Boxes,29,2025-02-14,2025-02-20,Completed,6,29,29,1
ORD00009,2025-09-30,P001,PP Strapping Roll,Strapping Solutions,120,2025-10-05,2025-10-11,Completed,6,120,120,1
ORD00010,2025-08-24,P002,PET Strapping Roll,Strapping Solutions,300,2025-08-27,2025-08-31,Completed,4,300,300,1
ORD00011,2025-05-18,P013,Platform Trolley,Material Handling,9,2025-05-22,2025-05-29,Completed,7,9,9,1
ORD00012,2025-09-07,P005,Stretch Film Roll,Stretch / Film Solutions,36,2025-09-10,2025-09-13,Completed,3,36,36,1
ORD00013,2025-07-28,P008,Plastic Pallet,Pallet Solutions,51,2025-08-02,2025-08-07,Completed,5,51,51,1
ORD00014,2025-12-06,P012,7-Ply Corrugated Box,Customized Carton Boxes,22,2025-12-12,2025-12-15,Completed,3,22,22,1
ORD00015,2025-04-29,P012,7-Ply Corrugated Box,Customized Carton Boxes,61,2025-05-01,2025-05-07,Pending,6,61,0,0
ORD00016,2025-09-26,P002,PET Strapping Roll,Strapping Solutions,115,2025-10-02,2025-10-05,Completed,3,115,115,1
ORD00017,2025-01-28,P004,EPE Foam Roll,Protective Packaging,77,2025-02-03,2025-02-06,Completed,3,77,77,1
ORD00018,2025-09-02,P003,Bubble Wrap Roll,Protective Packaging,9,2025-09-04,2025-09-11,Completed,7,9,9,1
ORD00019,2025-05-08,P003,Bubble Wrap Roll,Protective Packaging,61,2025-05-10,2025-05-15,Completed,5,61,61,1
ORD00020,2025-06-06,P003,Bubble Wrap Roll,Protective Packaging,20,2025-06-12,2025-06-17,Completed,5,20,20,1
ORD00021,2025-03-30,P002,PET Strapping Roll,Strapping Solutions,310,2025-04-05,2025-04-06,Completed,1,310,310,1
ORD00022,2025-12-26,P005,Stretch Film Roll,Stretch / Film Solutions,32,2025-12-31,2026-01-01,Completed,1,32,32,1
ORD00023,2025-05-17,P012,7-Ply Corrugated Box,Customized Carton Boxes,9,2025-05-20,2025-05-21,Completed,1,9,9,1
ORD00024,2025-07-26,P011,5-Ply Corrugated Box,Customized Carton Boxes,9,2025-07-30,2025-08-04,Completed,5,9,9,1
ORD00025,2025-12-12,P001,PP Strapping Roll,Strapping Solutions,160,2025-12-18,2025-12-23,Completed,5,160,160,1
ORD00026,2025-08-12,P008,Plastic Pallet,Pallet Solutions,12,2025-08-17,2025-08-18,Completed,1,12,12,1
ORD00027,2025-05-28,P012,7-Ply Corrugated Box,Customized Carton Boxes,45,2025-06-02,2025-06-09,Completed,7,45,45,1
ORD00028,2025-12-03,P001,PP Strapping Roll,Strapping Solutions,250,2025-12-09,2025-12-13,Completed,4,250,250,1
ORD00029,2025-03-09,P014,Hand Pallet Truck,Material Handling,18,2025-03-13,2025-03-17,In Production,4,18,8,0.444444444
ORD00030,2025-02-28,P013,Platform Trolley,Material Handling,14,2025-03-05,2025-03-06,Completed,1,14,14,1
ORD00031,2025-07-16,P006,Shrink Film Roll,Stretch / Film Solutions,7,2025-07-19,2025-07-24,Completed,5,7,7,1
ORD00032,2025-06-02,P005,Stretch Film Roll,Stretch / Film Solutions,5,2025-06-08,2025-06-13,Completed,5,5,5,1
ORD00033,2025-04-07,P001,PP Strapping Roll,Strapping Solutions,200,2025-04-10,2025-04-15,Completed,5,200,200,1
ORD00034,2025-03-19,P002,PET Strapping Roll,Strapping Solutions,180,2025-03-24,2025-03-25,Completed,1,180,180,1
ORD00035,2025-01-08,P004,EPE Foam Roll,Protective Packaging,23,2025-01-11,2025-01-15,Pending,4,23,0,0
ORD00036,2025-12-12,P008,Plastic Pallet,Pallet Solutions,10,2025-12-18,2025-12-22,Completed,4,10,10,1
ORD00037,2025-08-11,P008,Plastic Pallet,Pallet Solutions,8,2025-08-13,2025-08-20,Completed,7,8,8,1
ORD00038,2025-08-09,P012,7-Ply Corrugated Box,Customized Carton Boxes,23,2025-08-12,2025-08-14,In Production,2,23,8,0.347826087
ORD00039,2025-09-12,P011,5-Ply Corrugated Box,Customized Carton Boxes,33,2025-09-18,2025-09-20,Completed,2,33,33,1
ORD00040,2025-08-15,P011,5-Ply Corrugated Box,Customized Carton Boxes,42,2025-08-19,2025-08-24,Completed,5,42,42,1
ORD00041,2025-10-20,P003,Bubble Wrap Roll,Protective Packaging,72,2025-10-24,2025-10-29,Completed,5,72,72,1
ORD00042,2025-05-27,P006,Shrink Film Roll,Stretch / Film Solutions,27,2025-05-30,2025-06-04,Completed,5,27,27,1
ORD00043,2025-01-21,P004,EPE Foam Roll,Protective Packaging,7,2025-01-25,2025-02-01,Completed,7,7,7,1
ORD00044,2025-04-13,P007,Wooden Pallet,Pallet Solutions,44,2025-04-16,2025-04-23,In Production,7,44,24,0.545454545
ORD00045,2025-08-28,P014,Hand Pallet Truck,Material Handling,17,2025-08-30,2025-09-01,In Production,2,17,13,0.764705882
ORD00046,2025-03-05,P008,Plastic Pallet,Pallet Solutions,6,2025-03-10,2025-03-13,Completed,3,6,6,1
ORD00047,2025-10-15,P006,Shrink Film Roll,Stretch / Film Solutions,5,2025-10-19,2025-10-24,Completed,5,5,5,1
ORD00048,2025-09-10,P003,Bubble Wrap Roll,Protective Packaging,49,2025-09-12,2025-09-13,Completed,1,49,49,1
ORD00049,2025-08-01,P011,5-Ply Corrugated Box,Customized Carton Boxes,10,2025-08-03,2025-08-10,Pending,7,10,0,0
ORD00050,2025-07-05,P001,PP Strapping Roll,Strapping Solutions,210,2025-07-07,2025-07-13,Completed,6,210,210,1
ORD00051,2025-12-06,P012,7-Ply Corrugated Box,Customized Carton Boxes,12,2025-12-09,2025-12-15,Completed,6,12,12,1
ORD00052,2025-10-28,P009,Manual Strapping Tool,Packaging Tools & Equipment,7,2025-10-31,2025-11-07,In Production,7,7,4,0.571428571
ORD00053,2025-03-31,P011,5-Ply Corrugated Box,Customized Carton Boxes,7,2025-04-02,2025-04-08,Completed,6,7,7,1
ORD00054,2025-09-27,P009,Manual Strapping Tool,Packaging Tools & Equipment,40,2025-09-29,2025-10-05,Completed,6,40,40,1
ORD00055,2025-12-04,P005,Stretch Film Roll,Stretch / Film Solutions,81,2025-12-10,2025-12-13,In Production,3,81,68,0.839506173
ORD00056,2025-02-11,P002,PET Strapping Roll,Strapping Solutions,190,2025-02-15,2025-02-20,Completed,5,190,190,1
ORD00057,2025-08-21,P014,Hand Pallet Truck,Material Handling,4,2025-08-27,2025-09-01,Completed,5,4,4,1
ORD00058,2025-08-20,P002,PET Strapping Roll,Strapping Solutions,205,2025-08-23,2025-08-27,Completed,4,205,205,1
ORD00059,2025-08-31,P003,Bubble Wrap Roll,Protective Packaging,13,2025-09-02,2025-09-03,Completed,1,13,13,1
ORD00060,2025-10-15,P006,Shrink Film Roll,Stretch / Film Solutions,22,2025-10-19,2025-10-25,Completed,6,22,22,1
ORD00061,2025-10-23,P013,Platform Trolley,Material Handling,17,2025-10-29,2025-10-31,Completed,2,17,17,1
ORD00062,2025-10-15,P011,5-Ply Corrugated Box,Customized Carton Boxes,28,2025-10-21,2025-10-26,Completed,5,28,28,1
ORD00063,2025-06-29,P012,7-Ply Corrugated Box,Customized Carton Boxes,28,2025-07-01,2025-07-03,Completed,2,28,28,1
ORD00064,2025-08-21,P004,EPE Foam Roll,Protective Packaging,36,2025-08-25,2025-08-27,Completed,2,36,36,1
ORD00065,2025-01-26,P003,Bubble Wrap Roll,Protective Packaging,13,2025-01-28,2025-01-31,Completed,3,13,13,1
ORD00066,2025-02-26,P002,PET Strapping Roll,Strapping Solutions,110,2025-03-02,2025-03-08,Completed,6,110,110,1
ORD00067,2025-04-19,P007,Wooden Pallet,Pallet Solutions,33,2025-04-22,2025-04-29,Completed,7,33,33,1
ORD00068,2025-10-14,P011,5-Ply Corrugated Box,Customized Carton Boxes,9,2025-10-18,2025-10-19,Completed,1,9,9,1
ORD00069,2025-11-24,P005,Stretch Film Roll,Stretch / Film Solutions,33,2025-11-29,2025-12-02,Completed,3,33,33,1
ORD00070,2025-08-12,P006,Shrink Film Roll,Stretch / Film Solutions,14,2025-08-18,2025-08-22,Completed,4,14,14,1
ORD00071,2025-02-28,P008,Plastic Pallet,Pallet Solutions,9,2025-03-06,2025-03-11,Pending,5,9,0,0
ORD00072,2025-04-12,P005,Stretch Film Roll,Stretch / Film Solutions,30,2025-04-15,2025-04-20,Completed,5,30,30,1
ORD00073,2025-11-22,P007,Wooden Pallet,Pallet Solutions,48,2025-11-28,2025-12-01,Completed,3,48,48,1
ORD00074,2025-09-17,P003,Bubble Wrap Roll,Protective Packaging,63,2025-09-19,2025-09-22,In Production,3,63,40,0.634920635
ORD00075,2025-07-16,P002,PET Strapping Roll,Strapping Solutions,320,2025-07-21,2025-07-26,In Production,5,320,244,0.7625
ORD00076,2025-08-19,P005,Stretch Film Roll,Stretch / Film Solutions,8,2025-08-21,2025-08-28,Completed,7,8,8,1
ORD00077,2025-03-23,P001,PP Strapping Roll,Strapping Solutions,190,2025-03-27,2025-03-30,Completed,3,190,190,1
ORD00078,2025-10-13,P006,Shrink Film Roll,Stretch / Film Solutions,17,2025-10-18,2025-10-21,Completed,3,17,17,1
